NATIONID;NATION
847;калмык (бурят-монгол)
848;бурят (калмык)
849;алтаец (калмык)
850;калмык (отец - калмык, мать - русская)
851;калмык
852;калмык (алтаец)
853;отец - калмык, мать - русская
854;калмык (?)
855;карачаевец (калмык)
856;швед (русский)
857;чеченец
858;цыгане
859;бесермянин
860;хань
861;даргинец (кайтаг, кубачинец)
862;перс (фарси)
863;ороч
864;удэгеец
865;таз
866;малоросска
867;русский (великоросс)
868;великоросс
869;русский (украинец)
870;отец литовец, мать еврейка
871;немец (русский)
872;австриец (украинец)
873;ульч
874;удэгейка
875;китайцы
876;негидалец
877;тюрко-татарин
878;бурят-монголка
879;ульчанка
880;нанайка
881;корейцы
882;гольдка
883;нивхка
884;удэгейцы
885;негидал.
886;гилян (нивх)
887;удыг
888;метис
889;китайцы
