ARESTTYPEID;ARESTTYPE
294;Арестован ПП ОГПУ Саратовского края.
295;Арестован Хвалынским РО УНКВД.
296;Арестован Марксштадским РО УНКВД.
297;Арестован Новорепинским РО УНКВД.
298;Арестован Новоузенским РО НКВД.
299;Арестована УНКГБ.
300;Арестована РО УНКВД.
301;Арестован Балтайским РО УГБ НКВД по Саратовской области.
302;Арестован Бальцерским РО УНКВД.
303;Арестован Красноармейским РО МГБ по Саратовской области.
304;Арестован Каменской милицией.
305;Арестован Пугачевским РО УНКВД по Саратовской области.
306;Арестован Экгеймским КО НКВД.
307;Арестован Красноярским КО НКВД АССР НП.
308;Арестован Марксштадским КО НКВД РНП.
309;Арестован Ней - Вальтерским РО УНКВД.
310;Арестован Балашовским РО ОГПУ по НВК.
311;Арестована УГБ НКВД.
312;Арестован УНКВД РНП
313;Арестован Красноармейским РО НКВД.
314;Арестована УГБ НКВД РНП.
315;Арестован Балтайским РО НКВД.
316;Арестована НКВД Саратовской области.
317;Арестована Салтыковским РО УНКВД.
318;Арестован Чапаевским РО УНКВД.
319;Арестован Дергачевским РО НКВД.
320;Арестован Бальцерским КО НКВД.
321;Арестован Лысогорским РО УНКВД.
322;Арестован РО НКГБ.
323;Арестован Аркадакским РО НКВД
324;Арестован ОО НКВД СКФ г. Армавира.
325;Арестован СО ГПУ РНП.
326;Арестован ОО Каменлага НКВД.
327;Арестован Самойловским РО НКВД.
328;Арестован Балашовским РО ПП ОГПУ по НВК.
329;Арестован Марксштадским КО УНКВД АССР НП.
330;Арестован Красно - Кутским РО НКВД.
331;Арестован Терновским НО НКВД АССР НП.
332;Арестован УНКГБ Саратовской области.
333;Арестован ОТО НКВД РУ ж.д.
334;Арестован ОТО УГБ НКВД СК РУ ж.д.
335;Арестован Красно - Кутским КО УГБ НКВД по Саратовскому краю.
336;Арестован Аркадакским РО НКВД по Саратовской области.
337;Арестован РО НКВД по Саратовскому краю.
338;Арестован ТО НКВД РУ ж.д.
339;Арестован Балашовским РА ПП ОГПУ НВК.
340;Арестован ГУГБ НКВД.
341;Арестована Ново - Покровским РО НКВД.
342;Арестован ОДТО ГУГБ.
343;Арестована КО НКВД РНП.
344;Арестован Бальцерским КО ОГПУ.
345;Арестован Золотовским КО НКВД РНП.
346;Арестован Красно - Кутским КО НКВД РНП.
347;Арестован ОДТО НКВД станции Покровск.
348;Арестован НКВД РНП
349;Арестован Красно - Ярским КО НКВД РНП.
350;Арестован Красно - Ярским КО НКВД.
351;Арестован Красно - Ярским КО НКВД. РНП.
352;Арестован Золотовским КО НКВД.
353;Арестован Бальцерским ГПУ РНП.
354;Арестован ДТО НКВД.
355;Арестован Черкасским РО НКВД по Саратовской области.
356;Арестован Новоузенским РО НКВД по Саратовской области.
357;Арестован Баландинским РО УНКВД по Саратовской области.
358;Арестован ТО НКГБ РУ ж.д.
359;Арестована Аркадакским РО НКВД.
360;Арестована СПО УГБ УНКВД Саратовского края.
361;Арестован Балтайским РО НКВД по Саратовской области.
362;Арестован Федоровским КО НКВД.
363;Арестован ОО ГУГБ НКВД 61 - ой СД.
364;Арестован ТО УГБ НКВД.
365;Арестован УГБ НКВД АССР НП.
366;Арестован ДТО ГУГБ НКВД.
367;Арестован НКВД "Смерш" 36 - ОЙ Дивизии КВ НКВД.
368;Арестован Хвалынским РО ОГПУ.
369;Арестован Балашовским РА ОГПУ.
370;Арестован Макаровским РО НКВД.
371;Арестован Турковским РО НКВД.
372;Арестован ОКР "Смерш" 2 гв. АПКД.
373;Арестована ТО НКВД РУ ж.д.
374;Арестован Кистендейским РО НКВД.
375;Арестована Аткарским ОДТО ГУГБ НКВД.
376;Арестован ОДТО РУж.д.
377;Арестован ДТО УНКВД РУж.д.
378;Арестован Вольским 00 ОГПУ.
379;Арестован Куриловским РО УНКВД.
380;Арестован Балаковским РА ОГПУ.
381;Арестован ОГПУ НВК.
382;Арестован Балаковским РО ОГПУ.
383;Арестована Пугачёвским РО УНКВД.
384;Арестована Куриловским РО УНКВД.
385;Арестован Саратовским ОГПУ.
386;Арестован Баландинским РА ОГПУ.
387;Арестован ГПУ Мариетальского кантона.
388;Арестован КНВД по Казахстану.
389;Арестован НКВД ст. Астрахань.
390;Арестован Краснокутским КО НКВД.
391;Арестован Турковским РО УНКВД.
392;Арестован ОО НКВД 61 Армии.
393;Арестован Краснокутским КО ГПУ РНП.
394;Арестован г, Турковским РО УНКВД.
395;Арестован Широко- Карамышским РО УНКВД.
396;Арестован ДТО НКГБ РУж.д.
397;Арестован Широко-Карамышским РО УНКВД.
398;Арестован Турковским РА ОГПУ.
399;Арестован ГО УНКВД.
400;Арестован ОДТО НКВД РУж.д.
401;Арестован Куриловским РО НКВД.
402;Арестован Пугачёвским РО УНКВД.
403;Арестован Озинским РО УНКВД.
404;Арестован Аткарским ОО ОГПУ НВК.
405;Арестован Турковским ОГПУ по НВК.
406;Арестован Екатериновским РО УНКВД.
407;Арестована РО УМГБ.
408;Арестована КО НКВД АССР НП.
409;Арестована КО УНКВД АССР.
410;Арестован ОТО НКВД.
411;Арестован ОС при НКВД СССР.
412;Арестован УМВД по Саратовской области.
413;Арестован Ново-Покровским РО УНКВД.
414;Арестован ОО НКВД 56 СД.
415;Арестован ТО НКВД. РУж.д.
416;Арестован Черкасским РО НКВД.
417;Арестован Алтайским РО УНКВД.
418;Арестована ГО УНКВД.
419;Арестован РО ОГПУ.
420;Арестован Вольским УНКВД.
421;Арестован Лизандер- гейским УНКВД.
422;Арестован ГПУ Мариентальского кантона.
423;Арестован Прокуратурой Балтайского района.
424;Арестован Базарно-Карабулакским РО УНКВД.
425;Арестован НКВД по Ленинградскому фронту.
426;Арестован Алтайским РО УНКВД по Саратовской области.
427;Арестован Макаровским РО УНКВД.
428;Арестован Красно-Партизанским РО НКВД.
429;Арестован ГПУ ЛенВО.
430;Арестован Романовским РО НКВД.
431;Арестован Пугачёвским ОГПУ.
432;Арестован Пугачёвским РО НКВД.
433;Арестован ДТО ГУГБ НКВД РУж.д..
434;Арестован Татищевским РА ОГПУ.
435;Арестован ОДТО НКВД ст. Аткарск РУж.д.
436;Арестован Черкасским РА ОГПУ.
437;Арестован Балтайским РО УНКВД.
438;Арестован Екатериновским РА ОГПУ.
439;Арестован Лизандергеймским КО НКВД.
440;Арестован Унтервальденским КО НКВД.
441;Арестован Салтыковским РО НКВД.
442;Арестован Баландинским ОГПУ.
443;Арестован Екатериновским РО НКВД.
