ARESTORGANID;ARESTORGAN
7710;особым отделом УНКВД Ленинградской области
7711;особым отделом ГУГБ 70 стрелковой дивизии
7712;особым отделом 67 стрелковой дивизии
7713;особым отделом ГУГБ 90-й стрелковой дивизии
7714;особым отделом НКВД Ленинградской области
7715;особым отделом 2-й артиллерийской дивизии
7716;Уфимской Губчека
7717;особым отделом ОГПУ 1-го Читинского полка
7718;особым отделом УГБ НКВД 43 стрелковой дивизии
7719;особым отделом ГУГБ 90 стрелковой дивизии
7720;особым отделом УНКВД Карельского укрепленного района
7721;особым отделом УГБ 3 авиационной бригады
7722;особым отделом УНКВД 70 стрелковой дивизии
7723;штабом 2-й стрелковой бригады 4б-й дивизии
7724;особым отделом 19-го Приморского стрелкового корпуса
7725;особым отделом ОГПУ 1-й дивизии Дальневосточного военного округа
7726;особым отделом ОГПУ 19 стрелкового корпуса
7727;Симбирским ГубЧК
7728;особым отделом ГУГБ 4-й стрелковой дивизии
7729;Кингисеппским окружным отделом НКВД
7730;ГУГБ 2-й авиационной бригады
7731;Управлением Особого Отдела Западного фронта
7732;отделом Реввоентрибунала при 2 кавалерийском им. Блинова дивизии
7733;особым отделом ОГПУ Приморского округа
7734;военным комиссаром г. Новоалександровска
7735;Особым отделом при штабе 7 Армии
7736;ОО ГУГБ 18 стрелковой дивизии
7737;2-м Особым отделением 15 армии Западного фронта. 16.12.1919 г. революционным военным трибуналом 19-й стрелковой дивизии 15-й армии
7738;отделом милиции Глазовского уезда.
7739;Особым отделом штаба 3 Армии
7740;военным комендантом 15 армии
7741;особым отделом 19 стрелкового корпуса
7742;военным комендантом 2-й стрелковой дивизии
7743;особым отделом ОГПУ Татарской Республики
7744;военным комиссаром г. Петрозаводска
7745;особым отделом ОГПУ Пензенского округа
7746;особым отделом Отдельной Дальневосточной армии
7747;военным комендантом 6-й стрелковой дивизии
7748;особым отделом ОГПУ 19 Приморского стрелкового корпуса
7749;особым отделом ОГПУ Мордовской области
7750;2-м Особым отделением 15 армии Западного фронта
7751;3 отделом революционного военного трибунала 7 Армии
7752;особым отделом 9-й артиллерийской дивизии
7753;железнодорожной ЧК станции Вологда
7754;Политуправлением при Совнаркоме
7755;реввоентрибуналом Южной группы армий Восточного фронта
7756;2-м Особым отделением 15-й армии Западного фронта. 16.12.1919 г. Революционным военным трибуналом 19-й стрелковой дивизии 15-й армии
7757;особым отделом ОГПУ г. Владивостока
7758;особым отделом 7 армии
7759;военным комиссаром 2-й стрелковой дивизии
7760;особым отделом 1 стрелковой дивизии
7761;военным трибуналом 2-й стрелковой дивизии
7762;особым отделом Реввоенсовета Туркестан-ского фронта
7763;особым отделом ВЧК 6-й армии
7764;следователем революционного военного трибунала Восточного фронта.
7765;Приморским отделом ОГПУ
7766;особым отделом ВЧК 13 армии
7767;политуправлением 1-й стрелковой дивизии
7768;особым отделом Отдельной Дальневосточной бригады
7769;особым отделом 2-й кавалерийской дивизии
7770;военным трибуналом 2-й кавалерийской дивизии
7771;особым отделом 3-й дивизии
7772;особым отделом ОГПУ Центральной Черноземной области
7773;ОГПУ 7-й армии
7774;военным следователем реввоентрибунала 2 стрелковой дивизии
7775;Особым отделом ВЧК 7 Армии
7776;военным следователем реввоентрибунала 1 стрелковой дивизии
7777;военным следовате-лем реввоентрибунала 16 Армии
7778;особым отделом 6 дивизии
7779;военным следовате-лем реввоентрибунала 7 Армии
7780;оперативным отделе нием при штабе 7 Армии
7781;особым отделом 3-й стрелковой дивизии
7782;особым отделом 1-й конной казачьей дивизии
7783;следователем 3 отдела революционного военного трибунала 7 Армии
7784;Особым отделом при 7 Армии
7785;военным следователем реввоентрибунала 4 Армии
7786;Орской уездной ЧК
7787;особым отделом ОГПУ Средне-Волжского края
7788;военным следователе реввоентрибунала 2 стрелковой дивизии
7789;военкомом 479 госпиталя г. Краснодара.
7790;ОО 3-го укрепрайона Восточной части Черного моря
7791;Особым морским отделением № 3 Укрепрайона
7792;следователем След-ственного Комитета 5 Уральской стрелковой дивизии
7793;особым отделом при РВС 9-й армии
7794;Балашовской уездной ЧЕС
7795;военным следователем ревтрибунала 19 стрелкового корпуса.
7796;особым отделом РВС 9-й армии
7797;Белорецкой военно-следственной комиссией
7798;комендантом 202-го стрелкового полка 9-й армии
7799;особым отделом 9-й армии Кубанского фронта.
7800;комендантом учкома.
7801;военным комендантом 4-й стрелковой дивизии
7802;особым отделом 6-й стрелковой дивизии
7803;военным комендантом 9 стрелковой дивизии
7804;особым отделением № 1 ВЧК 5 Армии
7805;военным комендантом 2-й бригады
7806;особым отделом при Реввоенсовете 16 Армии Западного фронта в г. Смоленске
7807;особым отделом при реввоенсовете 9 Кубанской Армии Кавказского фронта
7808;особым отделом 5-й стрелковой дивизии
7809;особым отделом реввоенсовета 10 Терской Армии
7810;военным трибуналом 4-й стрелковой дивизии
7811;особым отделом 6-й кавалерийской дивизии
7812;особым отделом ВЧК 4-й армии
7813;военным комиссаром 3-го артиллерийского дивизиона
7814;военным комендантом 3-й стрелковой дивизии
7815;реввоентрибуналом 9 Кубанской Армии при 316 стрелковой дивизии
7816;Кубанско-Черноморской ЧК
7817;военным комендантом 9-й стрелковой дивизии
7818;Пермской ЧК
7819;особым отделом 9 Армии Южного фронта
7820;трибуналом 23 дивизии
7821;Военно-революционным трибуналом 12 Армии
7822;следователем революционного военного трибунала 9 Кубармии при 22 стрелковой дивизии Кавказского фронта.
7823;особым отделом 9-й стрелковой дивизии
7824;особым отделом 9 Армии
7825;военным комендантом 6-й кавалерийской дивизии
7826;ВЧК Карачаево-Черкесской области
7827;особым отделом 9-й кавалерийской дивизии
7828;военным трибуналом 6-й кавалерийской дивизии
7829;военным следовате-лем Северо-Кавказского военного округа и 1-й Конной Армии
7830;военным трибуналом 9-й стрелковой дивизии
7831;Нижнебаканской милицией
7832;особым отделом 1-й бригады
7833;Управлением внутренних дел Ямбургского Совдепа
7834;военным комиссаром Ямбургского уезда
7835;военным трибуналом 3-й стрелковой дивизии
7836;ВЧК Западной ж.д.
7837;начальником милиции станции Сиверская
7838;военным комендантом 6-й горной дивизии
7839;следователем революционного 1 военного трибунала 9 Кубармии при 22 стрелковой дивизии Кавказского фронта.
7840;ВЧК Кубанско-Черноморской области
7841;военным следователем Северо-Кавказского военного округа и 1-й Конной Армии
7842;военным трибуналом Северо-Кавказского военного округа
7843;военным с следователем Северо-Кавказского военного округа и 1-й Конной Армии
7844;ВЧК 6-й кавалерийской дивизии
7845;Военным отделом ст. Тимошевская
7846;на станции Рубцовка
7847;следователем Революционного Военного Трибунала 9 Армии Кавказского фронта
7848;пешей разведкой Брянского полка
7849;комендантом г. Бугульма
7850;ООВЧК 4-й Армии
7851;СО ВЧК 4-й Армии
7852;политкомиссаром нестроевой роты Карельского полка 27-й стрелковой дивизии
7853;следователем Революционного Военного Трибунала Каменского района
7854;особым отделом 10-й стрелковой дивизии
7855;отделом военно-революционного трибунала 4-й армии при 30-й стрелковой дивизии
7856;военкомом 262 полка
7857;участковой транспортной ЧК при пристани Барнаул
7858;особым отделом 53-й дивизии
7859;военкомом станции Курган
7860;комендантом г. Иркутска
7861;военкомом 263 полка.
7862;начхозом 1-го кавполка
7863;следователем 51-го полка 9 Армии Южного фронта.
7864;ВЧК г.Борисоглебска.
7865;военным следователем реввоентрибунала
7866;военным следователем реввоентрибунала 10 армии
7867;ВЧК пБорисогяебска.
7868;следователем революционного военного трибунала 5 Армии действующей в районе 27 стрелковой дивизии
7869;ВЧК г.Борисогяебска.
7870;особым отделом 11 -й стрелковой дивизии
7871;следователем Революционного Военного Трибунала при 46-й дивизии
7872;ВЧК гБорисоглебска.
7873;ВЧК пБорисоглебска.
7874;особым отделом 15-й Сибирской кавалерийской дивизии
7875;следователем районной следственной комиссии Вельско-Шенкурского направления
7876;особым отделом 11-й стрелковой дивизии
7877;в зале суда
7878;следователем революционного военного трибунала 12 Армии
7879;особым отделом 12-ой Армии
7880;особым отделом при Революционном военном Совете 9 Армии
7881;следователем революционного военного трибунала 5 Армии действующей в районе 26 стрелковой дивизии
7882;следователем особого отделения №6 12 Красной Армии
7883;следователем революционного военного трибунала 15 Сибирской кавалерийской дивизии
7884;Ардатовским РОНКВД МАССР
7885;НКВД МАССР
7886;в Баку и этапирован в г. Новосибирск
7887;Новониколаевским транспортным отделом ГПУ
7888;в Новосибирске
7889;в группе казахов-односельчан
7890;в г. Черемхово Иркутской губ.
7891;в составе группы казахов того же аула
7892;арестован не был
7893;во время путешествия
7894;при регистрации офицеров
7895;в г. Омске
7896;ВОО-ОГПУ.
7897;НКВД СОАССР
7898;органами НКГБ
7899;ДТО ГУГБ НКВД Орджоникидзевской ж.д.
7900;органами НКВД СОАССР
7901;НКГБ.
7902;УГБ НКВД СОАССР
7903;ОББ НКВД СОАССР
7904;Постановлением УНКВД ЧИАССР
7905;Постановлением УНКВД СОАССР
7906;ООО ОГПУ СОАССР
7907;УГБ НКВД ЧИАССР
7908;Постановлением СПО УНКВД поЧИАО
7909;РО НКВД СОАССР
7910;ООО ГПУ
7911;СООУНКВД.
7912;НКГБ
7913;ДТО ГУГБ Орджоникидзевской ж.д.
7914;000 ОГПУ
7915;Постановлением ОГПУ СКК
7916;ООО ОГПУ
7917;НКГБ ЧИАССР
7918;органами НКВД СОАССР.
7919;Постановлением ОГПУ
7920;ОДТО ГУГБ НКВД ст. Прохладной
7921;НКВД ЧИАССР
7922;Особым совещанием НКВД СССР
7923;Постановлением следственного отдела НКГБ СОАССР
7924;Постановлением НКВД СОАССР
7925;УНКВД по Орджоникидзевскому краю
7926;органами ДТО ГУГБ НКВД
7927;Тероблчека.
7928;Тероблчека
7929;органами МГБ СОАССР
7930;органами НКВД СОАО
7931;МВД СОАССР
7932;Моздокским горотделом МГБ СОАССР
7933;Постановлением РО НКГБ СОАССР
7934;органами ОДТО НКВД
7935;ВОООГПУ
7936;органами ОГПУ СКК
7937;ООООГПУ г. Орджоникидзе
7938;Постановлением НКВД г. Грозного
7939;ВОООГПУ СКК
7940;УНКВД по Ставропольскому краю.
7941;УГБ УНКВД Ор-джоникидзевского края
7942;НКВД СОАССР.
7943;ДТО ГУГБ НКВД Орджоникидзевской ж.д.
7944;УГБ НКВД СОАССР.
7945;НКВД Орджоникидзевской ж.д.
7946;Постановлением Тероблчека
7947;УГБ Минераловодчес-кого райотдела НКВД
7948;НКВД Тадж.ССР.
7949;следственной частью НКВД СОАССР
7950;Постановлением УНКВД по Краснодарскому краю
7951;Постановлением НКВД ст. Моздок
7952;органами ДТО ГУГБ Орджоникидзевской ж.д
7953;ОО НКВД СОАССР.
7954;Постановлением НКВД ЧИАССР
7955;разведотделом 4-го оперполка войск НКВД
7956;Ордж. губ. отд. ОГПУ
7957;Ордж. объед. отд. ОГПУ
7958;РО НКВД ЧИАССР
7959;РО НКВД Моздокского р-на
7960;ОТО НКВД ст. Прохладной
7961;НКГБЧИАССР
7962;НКВДСОАССР
7963;КГБ при Совмине СОАССР
7964;3 отделом УГБ НКВД СОАССР
7965;сотрудниками 3-го отдела УГБ НКВД СОАССР
7966;Постановлением УНКВД по Ставропольскому краю
7967;НКВДжел. дороги
7968;Моздокским ГО НКВД
7969;разведотделом 4-го оперполка войск НКВД.
7970;Постановлением УНКВД СКК
7971;Управлением охраны Южно-Уральской ж.д.
7972;органами НКВД Орджоникидзевской ж.д.
7973;000 ОГПУ СКК
7974;УГБ НКВД Орджоникидзевского края.
7975;ОТО НКВД ст. Махачкала Орджоникидзевской ж.д.
7976;Постановлением СБО УТБ НКВД СОАО
7977;НКВД СССР Львовской обл.
7978;органами НКГБ СОАССР
7979;СООУНКВД
7980;органами ДТО ГУГБ НКВД Орджоникидзевскои ж.д.
7981;ОДТОГНКВД ст. Минеральные Воды
7982;УНКВД СОАССР
7983;Владикавказским отделом ПП ОГПУ СКК
7984;Владикавказским отделом ОГПУ
7985;Владикавказской областной ЧК.
7986;Владикавказским ОО ОГПУ.
7987;УНКВД по Куйбышевской области
7988;Особым отделом Туркфронта
7989;и этапирован в Самару
7990;и объявлен в розыск.
7991;Самарской ЧК
7992;18 июня отправлен спецконвоем в Москву.
7993;в Куйбышеве
7994;в Куйбышеве Водным отделом Средне-Волжского бассейна МГБ
7995;в Ирпени
7996;(начало срока)
7997;(по др. данным 2.09.1924)
7998;отправлена в Москву
7999;(по др. данным 23.10.1937)
8000;(по др. данным 11.04.24)
8001;Ирпень
8002;(по др. данным 10.07.1920)
8003;содержался в Бутырской, затем во Владимирской тюрьме
8004;(по др. данным 20.09.1937)
8005;ВЧК, вскоре совершил попытку побега, но был вновь арестован.
8006;содержался в Бутырской тюрьме
8007;переведен в Иркутскую тюрьму
8008;летом 1922 подсудимый 1 группы процесса с.-р.
8009;(по др. данным 26.08.1937)
8010;(по др. данным 03.09.1937)
8011;находился в Бутырской, затем во Владимирской тюрьмах
8012;отправлен в Москву
8013;находился в Таганской тюрьме, затем переведен в Петроградскую тюрьму
8014;три месяца находился в Бутырской тюрьме
8015;после собрания социал-демократов
8016;заключен в Бутырскую тюрьму
8017;заключен во Владимирскую тюрьму
8018;отправлен в Бутырскую тюрьму в Москве
8019;содержался в Бутырской тюрьме, в 00.08.1920 в Ярославской тюрьме
8020;в клубе социал-демократов
8021;отправлена в Бутырскую тюрьму в Москве
8022;находился в Бутырской, Орловской и Харьковской тюрьмах
8023;(лето) содержался в Бутырской и Ярославской тюрьмах, 2.01.1921 объявил голодовку
8024;между 27.06. и 5.07.1922
8025;на собрании Московской организации в клубе «Вперед»
8026;накануне Всероссийской конференции РСДРП
8027;заключена в Бутырскую тюрьму в Москве
8028;содержался в Харьковской тюрьме
8029;содержалась в Бутырской, с.08.1920 в Ярославской тюрьмах
8030;находился в Бутырской тюрьме, затем в Тамбовской тюрьме ГПУ
8031;в г. Ирпень на конференции Союза с.д. рабочей молодежи
8032;в клубе «Вперед», содержался в Бутырской, затем Орловской тюрьмах, объявлял 8-дневную голодовку
8033;содержался в тюрьме в Кисельном переулке
8034;содержалась во Внутренней тюрьме в Москве
8035;содержалась в Бутырской тюрьме
8036;содержался во внутренней тюрьме ОГПУ
8037;на митинге
8038;содержалась в Псковской тюрьме
8039;содержался во Внутренней тюрьме
8040;В ночь на 23.02.1922 арестован во время заседания бюро с.-д. молодежи
8041;содержался в Бутырской, Лефортовской и Таганской тюрьмах
8042;содержался в Бутырской, Лефортовской, Таганской тюрьмах, 29.09.1922 совершил вооруженную попытку побега
8043;отправлен в Бутырскую тюрьму
8044;находилась в заключении на гауптвахте в Кремле
8045;до 10.1920 находилась в заключении, затем под «домашним арестом» в тюремном лазарете ВЧК вместе со Спиридоновой, далее оставлена для ухода за Спиридоновой в больнице и в Малаховке и в Калужской губ. под наблюдением ВЧК
8046;осень
8047;заключен в Петропавловскую крепость
8048;переведен в Архангельскую тюрьму
8049;на вокзале в Москве
8050;заключен в Петропавловскую крепость, в 1922 участвовал в голодовке
8051;содержался в Одесской тюрьме, 18.03.1922 отправлен в Москву в связи с подготовкой процесса эсеров
8052;содержался в Бутырской и Ярославской тюрьмах
8053;в 00.03.1938 привлекался в качестве свидетеля на процессе «Правотроцкистского антисоветского блока»
8054;содержался в Бутырской, затем во Владимирской тюрьмах
8055;содержался в специальном концлагере, затем в тюрьме Харьковской губ.ЧК
8056;содержался в Бутырской, затем в Ярославской тюрьмах
8057;содержался в Брянской тюрьме
8058;содержался в Читинской, Иркутской и Ярославской тюрьмах
8059;содержалась в Лефортовской тюрьме
8060;провела около 1, 5 лет в Красноярской тюрьме
8061;содержался в Бутырской тюрьме, затем в Ярославской (где был старостой эсеров)
8062;содержался в Ярославской тюрьме
8063;содержался во Владимирской тюрьме
8064;содержалась в Бутырской, с 26.04.1921 в Орловской тюрьмах
8065;содержалась в Бутырской и Ярославской тюрьмах
8066;содержалась во Внутренней тюрьме ВЧК с тремя дочерьми как заложница, 12.08.1920 отправлена в Ярославскую тюрьму, в 1921 снова находилась в Москве в Бутырской тюрьме
8067;находилась в Бутырской, а с 26.04.1921 – в Орловской тюрьмах
8068;содержалась в Бутырской, затем в Ярославской тюрьмах
8069;с.11.1923 содержалась в Бутырской тюрьме
8070;с.09.1922 содержалась в Ярославской тюрьме
8071;в начале года
8072;с 16.09.1930 содержался в Саратовском изоляторе
8073;содержался во Внутренней тюрьме, затем в Бутырской
8074;во время проведения конференции социал-демократической молодежи в г. Ирпень Киевской губ., содержался в Бутырской тюрьме, участвовал в 8-дневной голодовке
8075;содержался в Харьковской, затем в Бутырской и Владимирской тюрьмах
8076;содержался в Бутырской, затем Лефортовской тюрьмах, участвовал в голодовке
8077;содержался в Бутырской, затем в Владимирской тюрьмах
8078;бежал
8079;в Ленинграде, содержался во Внутренней тюрьме ОГПУ
8080;Уфимской ГЧК на осн. агентур. сведений, что он, пользуясь служебной командировкой, развозил по городам Камышин, Екатеринбург, Пермь, Челябинск и Уфа циркулярные письма ЦК ПСР
8081;содержался в концлагере
8082;отправлен во Внутреннюю тюрьму ГПУ
8083;9.06.1923 переведена в Москву в Бутырскую тюрьму
8084;находился в Орловской тюрьме, участвовал в 8-дневной голодовке
8085;содержался во Внутренней, затем в Бутырской тюрьмах
8086;содержалась в Бутырской, затем в Орловской тюрьмах
8087;содержалась в Ростовской тюрьме
8088;(?), содержался в Харьковской тюрьме
8089;(дата из документа)
8090;помещен в Бутырскую тюрьму
8091;содержалась в Бутырской, затем в Архангельской тюрьмах
8092;после побега и опознан как видный казанский эсер Галанов
8093;освобожден на поруки коммунистов под подписку о неучастии в политической жизни, скрылся
8094;содержался в Иркутской тюрьме, участвовал в голодовке, затем в Ярославском политизоляторе
8095;содержался в Таганской тюрьме
8096;содержался в Петропавловской крепости
8097;отправлен в Пертоминский лагерь
8098;содержался во внутренней тюрьме ГПУ, затем в Таганской тюрьме
8099;содержался в Бутырской тюрьме. 26.04.1921 отправлен во Владимирскую тюрьму
8100;находился в Орловской, затем в Харьковской тюрьмах
8101;(09.09.1937 освобождена под подписку о невыезде )
8102;содержался в Иркутской и Ново-Николаевской тюрьмах, затем в Ярославском политизоляторе
8103;содержался в Читинской, Иркутской, Ярославской тюрьмах
8104;содержался в Бутырской тюрьме, Ярославском политизоляторе
8105;после разгона Учредительного Собрания
8106;3.08.1923 отправлен в Бутырскую тюрьму
8107;содержался во Внутренней тюрьме ГПУ
8108;в Батуми во время командировки
8109;содержался в Иркутской тюрьме
8110;содержалась в Бутырской, затем во Владимирской тюрьмах
8111;на Николаевском вокзале в Москве при посадке в петроградский поезд
8112;содержался в Бутырской, затем в Ярославской тюрьмах. В 00.07.1922 на этапе в Нижний Новгород бежал.
8113;Киев.
8114;переведен в Верхнеуральский, затем в Ярославский политизолятор
8115;26.11.1930 этапирован в Москву
8116;содержался в Бутырской, затем во Владимирской тюрьмах, объявлял голодовку
8117;В ночь на 23.02 арестован во время заседания бюро социал-демократической молодежи
8118;содержалась во Внутренней тюрьме ГПУ, затем в Бутырской тюрьмах
8119;По требованию Московского СОГПУ должен был быть отправлен в 1922 на процесс эсеров
8120;содержался в Иркутской, затем в Ярославской тюрьмах
8121;в Минске, куда прибыл нелегально
8122;содержался в Бутырской, затем в Харьковской тюрьмах
8123;во время заседания бюро с.-д. молодежи, содержался во Внутренней тюрьме ГПУ
8124;содержался в Бутырской, затем в Рязанской тюрьмах
8125;содержался в Бутырской тюрьме, затем в Ярославском политизоляторе
8126;6 месяцев провела во внутренней тюрьме ГПУ
8127;содержался в Бутырской, затем в Ярославской тюрьмах, во Внутренней тюрьме ГПУ
8128;дал подписку «…обязуюсь согласно постановления ГПУ В 10-дневный срок ликвидировать свои служебные и личные дела и выехать за свой счет заграницу», оставлен на свободе
8129;содержался тюрьме г. Великий Устюг
8130;содержался под стражей 6 месяцев, 1922 - содержался под стражей 9 месяцев
8131;содержалась в Кремле
8132;содержалась в Ярославской тюрьме, затем в Суздальском политизоляторе
8133;содержалась в Бутырской, затем Орловской тюрьме
8134;содержалась во Внутренней тюрьме ОГПУ
8135;содержалась в Иркутской и Ярославской тюрьмах
8136;содержался в Бакинском исправдоме
8137;отправлен в Пертоминский концлагерь
8138;содержался во Внутренней, Ярославской и Бутырской тюрьмах
8139;в Петрограде
8140;во время заседания бюро с.-д.- молодежи, содержался в Бутырской тюрьме
8141;отправлен 19.01.1923 в Пертоминский концлагерь
8142;содержался в Царицынской тюрьме
8143;содержался в Иркутской и Ярославской тюрьмах
8144;содержался в Лефортовской тюрьме
8145;в Кашине.
8146;(по др. данным 16.03.1937)
8147;следствие велось в Новосибирске
8148;Во время подготовки к процессу эсеров 1922 вместе с 11 членами ПСР подписал заявление с требованием присоединить их к сидящим на скамье подсудимых.
8149;переведен в Новосибирскую внутреннюю тюрьму
8150;на собрании Московской организации РСДРП, содержался в Бутырской тюрьме, 26.04.1921 переведен во Владимирскую тюрьму
8151;Кисловодским РО НКВД СССР
8152;содержался в Тюменском исправдоме
8153;25.02.1921 отправлен в Москву, содержался в Бутырской тюрьме, 26.04.1921 отправлен в Рязанскую тюрьму
8154;содержался в Киевской тюрьме
8155;содержался в Ростовской, затем в Бутырской тюрьмах
8156;отправлен в Ярославскую тюрьму
8157;содержался в Бутырской тюрьме, после массового избиения заключенных 26.04.1921 вывезен в Рязанскую тюрьму
8158;находился в розыске
8159;26.08.1932 осв. На подписку о невыезде
8160;задержан 08.10.1944?
8161;задержан 19.01.1946
8162;задержан 01.06.1929
8163;АОУ НКВД
8164;Мазановским РО НКВД.
8165;Архаринским РО НКВД
8166;ОО НКВД 17-й Армии.
8167;Амурским ООГПУ.
8168;Тыгдинским РО ОГПУ
8169;Михайловским РО УНКВД
8170;по ст. 58-10 УК РСФСР
8171;56-м Благовещенским погранотрядом.
8172;АОУ НКВД.
8173;по ст. 58-2 п. 11 УК РСФСР
8174;по ст. 58-2-11 УК РСФСР
8175;по ст. 58-7 УК РСФСР
8176;по ст. 58-10 ч. 2 УК РСФСР
8177;Поярковским РО НКВД
8178;Тамбовским РО НКВД
8179;по ст. 58-8, 58-12, 58-18 УК РСФСР
8180;Кагановичским РО НКВД.
8181;по ст. 58-7-10 УК РСФСР
8182;Благовещенской следственной комиссией при областном ревтрибунале
8183;Благовещенским кав. ПО НКВД.
8184;74-м Шилкинским КПО НКВД Читинской области.
8185;Кумарским ПО НКВД
8186;ОДТО ГУГБ НКВД ст. Сковородино.
8187;2 отделом УНКГБ
8188;ОО НКВД АКВФ
8189;Амурским ОГПУ.
8190;УНКВД по Хабаровскому краю
8191;Н-Амурским ОУ НКВД
8192;4 отд. УГБ УНКВД
8193;Амурским ОУ НКВД
8194;ОУ НКВД ЕАО
8195;СПО УНКВД по Хабаровскому краю
8196;по ст. 58-6 УК РСФСР
8197;ОКР «СМЕРШ» 2 ОКА
8198;ТО МГБ ст. Комсомольск-на-Амуре
8199;по ст. 58 УК РСФСР
8200;Амурским АОУ НКВД
8201;ВРО ГПУ
8202;по ст. 58-2, 58-10, 58-11 УК РСФСР
8203;Свободненским РО НКВД
8204;КРО ПП ОГПУ
8205;КРОПП ОГПУ
8206;Свободненским РО УНКВД
8207;Благовещенским ПО ОГПУ
8208;Мазановским РО УНКВД
8209;Кагановичским РО УНКВД
8210;РО НКВД Бурейского р-на
8211;РО НКВД Мазановского р-на.
8212;Бурейским РО НКВД.
8213;ДТО ГУГБ НКВД Амурской железной дороги.
8214;управлением НКВД по Амурской области
8215;о/п ПП УГБУ ж.-д. ст. Завитая
8216;органами АОУ НКВД без санкции прокурора.
8217;по ст. 58-2, 58-10 УК РСФСР
8218;РО НКВД Бурейского р-на.
8219;ОЗТО УГПУ Магдагачинского р-на
8220;Амурским ЗОС ПП ОГПУ
8221;АО ОГПУ
8222;4-м отделом АОУ НКВД.
8223;Аяно-Майским РО УНКВД
8224;РО НКВД Селемджино-Буреинского р-на.
8225;Мазановским РО НКВД без санкции прокурора.
8226;без санкции прокурора.
8227;Свободненским ГО АОУ НКВД без санкции прокурора.
8228;УОА УКГБ при СМ СССР.
8229;Свободненским ГО УНКВД.
8230;по ст. 58-10 ч.2 УК РСФСР
8231;СО военно-полевого Контроля 3-й армии Восточного фронта (г.Пермь).
8232;03.09.37 освобожден под подписку о невыезде.
8233;19.06.37 освобожден под подписку о невыезде.
8234;Освобожден под подписку о невыезде 27.04.30. Арестован 30.09.30.
8235;Красноборским отделом УНКВД
8236;01.03.31 освобождена на подписку о невыезде.
8237;освобожден 27.03.39
8238;Освобождена 31.03.19 на подписку о невыезде.
8239;осв. 08.05.29
8240;22.06.34 из-под стражи освобожден на подписку о невыезде.
8241;25.05.33 освобожден на подписку о невыезде.
8242;22.03.26 мера пресечения изменена на подписку о невыезде.
8243;27.12.20 освобожден на подписку о невыезде.
8244;в Шенкурске
8245;02.10.29 освобожден под подписку о невыезде.
8246;при облаве в Сурском монастыре
8247;Освобожден под подписку о невыезде 27.05.33 .
8248;20.05.20 освобожден под подписку о невыезде.
8249;29.09.35 освобожден под подписку о невыезде.
8250;Задержана на ст.Александров
8251;в г.Владимире (ссылка)
8252;повторно арестован 25.06.1919.
8253;УНКВД по Карагандинской обл.
8254;РО МВД.
8255;МВД отд. Степняковского лаготделения.
8256;Мангистауский РО НКВД.
8257;УМГБ.
8258;Кустанайский РО УНКВД.
8259;Соколовское РО НКВД СКО.
8260;ПП ОГПУ по Алма-Атинской обл.
8261;Бишкарагайский РО ОГПУ по Семипалатинской обл.
8262;Акмолинское РО ОГПУ.
8263;ОО НКВД 43 КСД.
8264;УНКВД по Актюбинской обл.
8265;УНКВД по ЗКО.
8266;ОГПУ по Карагандинской обл.
8267;Аксуское РО ОГПУ
8268;Аксуйское РО ПП ОГПУ в Казахстане.
8269;Аксуское РО НКВД
8270;Чиликский РО НКГБ по Алма-Атинской обл.
8271;ПП ОГПУ в Казахстане.
8272;Карсакпайский РО НКВД по Карагандинской обл.
8273;Сыр-Дарьинский окротдел ОГПУ.
8274;гор.отдел ОГПУ Кустаная.
8275;Оперативная группа ПП ОГПУ в Казахстане.
8276;Окружной отдел при ПП ОГПУ в Казахстане.
8277;УНКВД по ВКО.
8278;УМГБ по Павлодарской обл.
8279;РО УНКВД.
8280;в-ч 2091.
8281;Кастекский РО НКВД.
8282;УНКВД по Алма-Атинской обл.
8283;ОО ПП ОГПУ КССР.
8284;Джувалинское РО ОГПУ.
8285;ОО НКВД 1 ГОЛСД.
8286;Зыряновское РО НКВД.
8287;УКГБ по Карагандинской обл.
8288;УНКГБ по Гурьевской обл.
8289;Риддерский ГО НКВД.
8290;Зыряновский РО НКВД.
8291;СПО ПП ОГПУ Каз.ССР.
8292;УМГБ СКО.
8293;Органы НКВД.
8294;РО ОГПУ.
8295;УМГБ по Карагандинской обл.
8296;Балхашский НКВД.
8297;Пахтааральский РО НКВД.
8298;Уйгурский РО УНКВД по Алма-Атинской обл.
8299;Уйгурский РО НКВД.
8300;Кзыл-Ординский окружной отдел ПП ОГПУ в Казахстане.
8301;УМГБ КазССР.
8302;Кзыл-Ординский РО НКВД.
8303;ОСПК НКВД.
8304;УМГБ по Алма-Атинской обл.
8305;Петропавловксий ПП ОГПУ.
8306;УМГБ области.
8307;Капальский РО НКВД
8308;Махтааральский РО НКВД.
8309;Макинским РО НКВД.
8310;УНКВД по Южно-Казахстанской обл.
8311;Баянаульское РО ОГПУ по ВКО.
8312;ОО НКВД 114 ОСБ.
8313;вч 2091.
8314;Тарбагатайский РО ОГПУ.
8315;Коунрадский ОГПУ.
8316;Тарбагатайский РО НКВД.
8317;Балхашский ГО УНКВД по Карагандинской обл.
8318;Алакольским РО НКВД
8319;Туркестанский РО НКВД по ЮКО.
8320;РО ОГПУ по Актюбинской обл.
8321;Карабалыкское РО НКВД.
8322;Казалинский опер.сектор ОГПУ.
8323;Кегенское РО УНКВД.
8324;Арысский РО НКВД по ЮКО.
