ARESTORGANID;ARESTORGAN
522;ЯОООГПУ. 28.05.33 мера пресечения изменена на подписку о невыезде.
523;Усть-Алданским РО НКГБ ЯАССР
524;Таттинским РО НКВД ЯАССР
525;Ви-тимскимОП НКВД ЯАССР
526;по НКВД ЯАССР
527;УДИТЛ МВД ЯАССР
528;Оймякон-скимРОНКГБ ЯАССР
529;Чурапчинским РО НКВД ЯАССР
530;УНКВД Якутской АССР
531;НКГБ Ленского бассейна ЯАССР
532;Булунским РО НКГБ ЯАССР
533;Прокуратурой ЯАССР
534;АОС НКВД ЯАССР
535;ОДТО НКВД Октябрьской железной дороги
536;ОГПУ ДВК
537;Ленским РО НКГБ ЯАССР
538;Усть-Алданским РО НКВД ЯАССР
539;Аллаиховским РО НКВД ЯАССР
540;Аллах -Юньским РО НКГБ
541;Ленским НКВД ЯАССР
542;АООНКГБ ЯАССР
543;Олекминского РО НКВД ЯАССР
544;Алданским отделом МВД ЯАССР
545;прокуратурой Усть-Майского района ЯАССР
546;Нижнеколымским РО НКВД ЯАССР
547;Прокуратурой Якутского района ЯАССР
548;ЯОГМ
549;прокурором ЯАССР
550;ЯОООГПУ. 18.02.31 осв. под подписку о невыезде
551;Алданским ИТЛ МВД ЯАССР
552;ЯОООГПУ. 23.08.31 осв. под подписку о невыезде
553;ОО НКВД 125 ЗПС Каз. ССР
554;Вилюй-ским РОНКВДЯАССР
555;прокуратурой Ленского района ЯАССР
556;АС НКГБ ЯАССР
557;отделом при Амурлаге НКВД
558;отделом охраны МГБ Ленского бассейна
559;Орджоникид-зевским РО НКВД ЯАССР
560;Олекмин-ского РО НКВД ЯАССР
561;Алданским окр. отделом НКГБ ЯАССР
562;НКВД г. Якутска
563;Булун-ским РО НКВД ЯАССР
564;Орджоникидзевским РО НКВД
565;МГБ ДВ ЖД
566;Намским РО НКГБ ЯАССР
567;Амгинским НКВД ЯАССР
568;прокурором Ленинского района ЯАССР
569;Оржоникидзевским РО НКВД ЯАССР
570;Пеледуйским ОП НКГБ ЛБ ЯАССР
571;УНКВД по Иркутской обл.. 04.07.1938 г. доставлен в г. Якутск
572;Алданским РО НКВД ЯАССР
573;Аллайховским РО НКВД ЯАССР
574;Бу-лунским РО НКГБ АССР
575;Алданским сектором НКГБ ЯАССР
576;транспортным отделом ГПУ ЯАССР. 20.06.33 мера пресечения изменена на подписку о невыезде.
577;Орджоникидзевским РО НКГБ ЯАССР
578;АОО МВД ЯАССР
579;Алданским отделом НКГБ ЯАССР
580;ОКР "СМЕРШ" 35-й Армии
581;НКВД по Иркутской обл.
582;Вилюйским РО НКГБ ЯАССР
583;Томмотским РО МГБ ЯАССР
584;Водным отделом НКГБ СССР Лено-Якутского бассейна
585;РО НКГБ ЯАССР
586;НКВД 57-й МСД
587;"СМЕРШ" ВТКУ
588;АОС ОГПУ ЯАССР
589;Томмотским РО НКГБ ЯАССР
590;УКР "СМЕРШ" Забайкальского фронта
591;Иркутскгубчека
592;Аллах-ЮньскимРОНКВД ЯАССР
593;УКР "СМЕРШ"
594;органами УГБ НКВД ЯАССР
595;Анабарским РО МГБ ЯАССР
596;Нюрбин-ским РО НКВД ЯАССР
597;ОП НКГБ ЛБ
598;ОО НКВД 24 стрелковой дивизии
599;Аллах-Юньским РО МВД ЯАССР
600;Тиксинским ОП НКГБ ЯАССР
601;Аллах-Юньским РО МГБ ЯАССР
602;Аллах-Юнь-ским РО МВД ЯАССР
603;прокурором Ленского района ЯАССР
604;Ал-лах-Юньским РО МВД ЯАССР
605;Аллах-Юньским РО НКВД ЯАССР
606;НКВД 34 запасной стрелковой дивизии
607;ВО НКГБ Л Б ЯАССР
608;Алданским ОС ОГПУ ЯАССР
609;НКВД по ДВК
610;Ви-тимским ОП НКВД ЯАССР
611;УНКВД по Свердловской обл.
612;отделом СП МВД ЯАССР
613;прокуратурой Алданского округа
614;НКВД 209 СД
615;уполномоченным ЯОООГПУ по Верхоянскому округу
616;Тимптонским РО НКГБ ЯАССР
617;ОО НКВД 2-й ОСБ
618;Аллах -Юньским РО НКВД ЯАССР
619;ОО НКВД 39 армии
620;отделом контрразведки "СМЕРШ"
621;ВО НКГБ Л Б
622;Олекминским РО МГБ ЯАССР
623;начальником Олекминской милиции
624;ОО НКВД 3-го мехкорпуса
625;ОО НКВД 379 стрелковой дивизии
626;ОО НКВД 4-й гвардейской механизированной бригады
627;ОКР МГБ 17-й отдельной бригады
628;Ана-барским РО НКВД ЯАССР
629;Киренским оперпунктом УГБ НКВД ЯАССР
630;УНКВД ЯАССР
631;прокуратурой Орджоникидзевского района ЯАССР
632;НКВД 235 стрелковой дивизии
633;ОО НКВД 36 МСД
634;Верхоянским РО НКГБ ЯАССР
635;Усть-Кутским РО НКВД по Иркутской обл.
636;органами КГБ
637;органами НКВД ЯАССР
638;Вилюйским РО МГБ ЯАССР
639;Алданским сектором ЯОООГПУ
640;НКГБ 19-й железнодорожной бригады 1-го Украинского фронта
641;НКВД 256 стрелковой дивизии
642;опорным пунктом ТО НКВД ЯАССР
643;Булунским РО МГБ ЯАССР
644;Учурским отделением НКВД ЯАССР
645;ОО НКВД 2-го ОСБ
646;контрразведкой МГБ войской части 78713
647;Киренским транспортным отделом ОГПУ
648;ОО ГУГБ НКВД при 12 стрелковой дивизии
649;НКВД УралВО
650;(29.08.38) НКВД ЯАССР
651;ОО НКВД 2-й ЗСБ
652;ОО НКВД 240 стрелковой дивизии
653;УГБ НКВД ЯАССР по ст. 58-7 УК РСФСР. 13.10.1938 г. предъявлено дополнительно обвинение
654;Алданским ОС ЯОООГПУ. 31.05.1932 г. осв. под подписку о невыезде.
655;ИТЛ МВД СССР
656;Амгинским РО НКГБ ЯАССР
657;Средне-колымским РО НКВД ЯАССР
658;Сунтарским РО НКВД
659;ОКР "СМЕРШ" 15-го гвардейского механизированного корпуса
660;ОО НКВД Иркутского гарнизона ЗабВО
661;МГБ Ленского бассейна
662;по определению Главного суда ЯАССР. Постановлением Прокуратуры ЯАССР от 20.12.29 осв. под подписку о невыезде.
663;Алданским ОО МВД ЯАССР
664;(15.11.37) УНКВД по Омской обл.
665;Алданским ОО милиции
666;Алданского ОКРО МВД ЯАССР
667;МВД по ИГПУ
668;ЯНКВД
669;ОЧ Олекминской тюрьмы НКВД ЯАССР
670;СЧ Алданской тюрьмы НКВД ЯАССР
671;по решению губчека
672;(дата неизвестна) ЯОООГПУ
673;Алданским сектором НКВД ЯАССР (из Н.Тагила был этапирован на прииск Незаметный Алданского района ЯАССР)
674;НКВД ЯАССР в г. Якутске
675;Усть-Алдан-ским РО НКВД ЯАССР
676;НКВД ЯАССР в Охотском Перевозе
677;Орджоникидзевским РО НКВД ЯАССР
678;НКВД ЯАССР. 09.10.1935 г. осв. под подписку о невыезде.
679;ОИТК 9 МВД ЯАССР
680;ИТЛ МВД ЯАССР
681;Алданского ОО НКВД ЯАССР
682;РО МГБ ЯАССР
683;13.5.33 взята подписка о невыезде.
684;22.4.30 взята подписка о невыезде.
685;3.6.33 взята подписка о невыезде.
686;16.6.33 взята подписка о невыезде.
687;11.6.33 взята подписка о невыезде.
688;1.8.21 взята подписка о невыезде.
689;10.10.29 взята подписка о невыезде.
690;7.2.30 взята подписка о невыезде.
691;17.10.30 взята подписка о невыезде.
692;27.10.29 взята подписка о невыезде.
