EDUCATIONID;EDUCATION
1652;1, 5 года учился в Академии водного транспорта
1653;среднее, курсы бухгалтеров
1654;Красноярскую семинарию
1655;неполное среднее (педагогическое)
1656;школу 2-й ступени
1657;7 групп и ФЗУ
1658;ремесленное училище в г. Красноярске, в 1927 юридические курсы в г. Иркутске
1659;1 класс городского училища
1660;4-класное Томское училище
1661;4-х классное училище
1662;Тимирязевскую сельхозакадемию
1663;3-классная сельская школа
1664;2-классную школу
1665;курсы телеграфистов для почтовых служащих
1666;консерваторию
1667;высшее медицинское ( мединститут в г. Риге)
1668;2 группы
1669;женскую гимназию
1670;высшее юридическое, Томский университет
1671;Алтайское горное училище
1672;средне-специальное, Самарское сельхозучилище
1673;грамотная, самоучка
1674;5 групп немецкой школы
1675;2 курса Института инженеров железнодорожного транспорта
1676;школу 1-й ступени
1677;гимназию в г. Владивостоке
1678;6 классов мужской гимназии
1679;высшее медицинское, Томский университет
1680;2-классную сельскую школу
1681;учился в Томском университете
1682;Институт водного транспорта в г. Ленинграде
1683;учился в семинарии
1684;3 курса Казанской духовной семинарии
1685;училище.
1686;гимназию, морскую школу и 1-й курс горной академии
1687;4 класса Иркутского духовного училища
1688;в 1932 Институт народов Севера в Ленинграде
1689;Аспирант кафедры Сибирского лесотехнического института
1690;высшее, в 1913 медицинский факультет Казанского университета
1691;в 1934 институт в г. Ленинграде
1692;безграмотная
1693;, грамотный
1694;техник-стекловар
1695;зав. складом
1696;священнослужитель
1697;церковнослужитель
1698;буфетчик
1699;оперуполномоченный УГБ НКВД МАССР
1700;зав. школой
1701;дошкольник
1702;дошкольница
1703;колхозница
1704;диктор-массовик радиокомитета
1705;доцент ПЛТИ
1706;пом. лесничего
1707;массовик радиокомитета
1708;зав. гаражом
1709;прораб
1710;крестьянин
1711;учитель СШ
1712;директор педрабфака
1713;счетовод райздравотдела
1714;служащая
1715;доцент пединститута
1716;пропагандист РК ВЛКСМ
1717;домохозяйка
1718;директор НСШ
1719;учитель НСШ
1720;рабочий МТС
1721;зав. радиоузлом
1722;служащий
1723;уполномоченный по лесозаготовкам
1724;учитель
1725;зоотехник райзо
1726;ветврач
1727;директор завода
1728;без определенных занятий
1729;грузчик
1730;пенсионер
1731;бухгалтер
1732;ст. прораб
1733;рабочая
1734;доцент института
1735;избач избы-читальни
1736;крестьянка
1737;военврач
1738;сторож
1739;секретарь РК ВЛКСМ
1740;начальник отделения связи
1741;красноармеец
1742;библиотекарь
1743;учащийся
1744;зав. производством промартели
1745;кассир
1746;зав. фермой
1747;продавец
1748;Секретарь-машинистка
1749;рабочий
1750;председатель колхоза
1751;учительница
1752;парикмахер
1753;зав. столовой
1754;директор МТС
1755;врач
1756;Инженер-строитель
1757;директор МарОГИЗ
1758;агроном райзо
1759;пенсионерка
1760;экспедитор телеграфа
1761;заключенный
1762;зав. детским санаторием
1763;зав. домом учителей
1764;заключенная
1765;тракторист МТС
1766;разнорабочий
1767;преподаватель
1768;военнослужащий
1769;водитель
1770;ст. продавец
1771;воспитанник детдома
1772;начальник лесопункта
1773;плотник
1774;счетовод
1775;мельник
1776;учащаяся
1777;контролер
1778;чертежник
1779;председатель Йошкар-Олинского горсовета
1780;агроном
1781;музыкант
1782;надзиратель УИТУ
1783;официантка
1784;десятник
1785;Экономист-плановик
1786;зав. магазином
1787;директор совхоза
1788;военнопленный
1789;портной
1790;гл. бухгалтер
1791;десятник по строительству
1792;инспектор Госбанка
1793;охранник
1794;ст. инженер
1795;бакенщик
1796;директор школы
1797;рабочий сельпо
1798;зав. мастерской
1799;зам. председателя колхоза
1800;служитель культа
1801;ревизор
1802;инженер
1803;бондарь
1804;специнспектор рай-фо
1805;работал по найму
1806;директор Марпедин-ститута
1807;мастер валкожтреста
1808;хлебовозчик
1809;Техник-строитель
1810;мастер
1811;директор ПЛТИ
1812;корректор Учпедгиза
1813;фельдшер
1814;механик мельницы
1815;зав. базой
1816;завуч школы
1817;отв. исполнитель по снабжению лесокомбината
1818;охранник сельпо
1819;Техник-чертежник
1820;инструктор завода
1821;зав. библиотекой
1822;директор рай-мага
1823;авиатехник аэроклуба
1824;зав. РКИ ОК ВКП(б)
1825;завхоз детсада
1826;кассир сельпо
1827;пекарь
1828;Десятник-строитель
1829;инструктор по столярному делу
1830;председатель сельхозартели
1831;охранник больницы
1832;печник
1833;мастер завода
1834;красноармеец, был в плену
1835;бухгалтер райсобеса
1836;возчик сплавконторы
1837;пастух
1838;ветфельдшер
1839;член колхоза
1840;мастер автодороги
1841;повар
1842;конюх
1843;зав. кафедрой ПЯТИ
1844;инспектор «Трансторг-пит»
1845;завхоз
1846;боец пожарной охраны
1847;судья
1848;зав. пекарней горпо
1849;конюх лесопункта
1850;счетовод промартели
1851;член промартели
1852;зав. мельницей
1853;завхоз больницы
1854;пом. директора лесхоза
1855;сторож магазина
1856;работник райгазеты
1857;зоотехник
1858;сплавщик
1859;и. о. доцента Поволжского лесотехнического института
1860;артистка
1861;курсант пехотного училища
1862;главный врач
1863;сторож хлебопекарни
1864;монашка
1865;мастер леса
1866;военрук училища
1867;преподаватель института
1868;стрелочник
1869;надсмотрщик городской телефонной сети
1870;зав. лабораторией стеклозавода
1871;делопроизводитель
1872;ст. бухгалтер
1873;курсант
1874;зам. редактора газеты
1875;дневальный жилищно-коммунального отдела
1876;фильтрационный лагерь
1877;уборщица
1878;преподаватель ПЛТИ
1879;зам. директора МТС
1880;зам. секретаря РК ВКП (б)
1881;специалист леспромхоза
1882;няня
1883;сотрудник райвоенкомата
1884;отв. редактор райгазеты
1885;зав. начальной школой
1886;страхагент
1887;нач. АХО НКВД
1888;лесничий
1889;зав. ТПБ затона
1890;чистильщик обуви
1891;сапожник
1892;преподаватель педучилища
1893;бухгалтер Госбанка
1894;епископ Марийской епархии
1895;отв. приказчик потребобщества
1896;инспектор
1897;начальник РО НКВД
1898;председатель сельсовета
1899;дорожный смотритель
1900;почтовый работник
1901;на принудительных работах
1902;техник
1903;кустарь
1904;извозчик
1905;секретарь сельсовета
1906;письмоносец
1907;начальник конторы ст. Сарапул
1908;старший мастер
1909;спецпоселенец
1910;техник дорот-дела
1911;пом. эпидемиолога СЭС
1912;надзиратель изолятора
1913;директор бани
1914;фотограф
1915;кладовщик
1916;кузнец
1917;медсестра
1918;возчик
1919;ст. плановик
1920;охранник промартели
1921;машинистка Госстраха
1922;тракторист
1923;Счетовод-кассир
1924;ссыльный
1925;курсант военно-морского училища
1926;гл. врач СЭС
1927;дор. уполномоченный
1928;агент по отгрузке лесоматериалов
1929;дезертир
1930;оперуполномоченный милиции
1931;нач. отделения связи
1932;товаровед базы
1933;бригадир плотников
1934;бухгалтер педучилища
1935;зав. райдоротделом
1936;председатель рабкома
1937;рабочий райкоммун-хоза
1938;бондарь промартели
1939;начальник райтрансторгпита
1940;оперуполномоченный РО НКВД
1941;учащийся педучилища
1942;рабочий артели
1943;возчик леса
1944;зав. медпунктом
1945;секретарь рай-газеты
1946;быв. учащийся
1947;военный комиссар МАССР
1948;счетовод колхоза
1949;счетный работник
1950;на излечении в эвакогоспитале
1951;мастер лесопункта
1952;мастер затона
1953;зав. больницей
1954;пожарник
1955;начальник цеха
1956;зав. чертежным бюро завода
1957;мастер цеха
1958;заготовитель сельпо
1959;завхоз детдома
1960;зав. буфетом
1961;ст. механик МТС
1962;инспектор Нарком-зема МАССР
1963;портниха
1964;комиссар отдела боевой подготовки ЦС ОСОАВИАХИМа МАССР
1965;директор средней школы
1966;агроном МТС
1967;гл. бухгалтер МТС
1968;лесоруб
1969;уполномоченный по заготовке дров
1970;зам. бухгалтера
1971;надомница артели
1972;директор Мар-гостеатра
1973;директор педучилища
1974;начальник райотдела милиции
1975;ст. техник затона
1976;киномеханик
1977;нач. пожарной охраны
1978;секретарь райнар-суда
1979;зам. директора детдома
1980;завхоз школы
1981;стрелочник ж. д.
1982;секретарь Нарком-зема
1983;бригадир МТС
1984;агент Нарком-зема
1985;товаровед
1986;лесник
1987;контролер по мельницам
1988;судисполнитель
1989;бригадир
1990;секретарь РИК
1991;редактор райгазеты
1992;зав. аптекой
1993;техслужащая
1994;режиссер-актер Маргостеатра
1995;секретарь Марийского ОК ВКП(б)
1996;бригадир совхоза
1997;сторож райторга
1998;изыскатель-проектировщик
1999;директор Марбумкомбината
2000;сотрудник ОПО НКВД МАССР
2001;военрук школы
2002;приемщик зерна
2003;спецпоселенка
2004;ст. агроном РЗО
2005;зав. отделом лестранхо-за
2006;механик МТС
2007;зав. поликлиникой
2008;зав. цехом артели
2009;агент по заготовкам
2010;агент от пошивочной фабрики
2011;зам. председателя райисполкома
2012;зав. ларьком артели инвалидов
2013;быв. студент
2014;директор института
2015;член исполкома
2016;председатель райисполкома
2017;юрисконсульт
2018;артист
2019;зав. пчелопасекой
2020;кондитер
2021;техник связи
2022;зав. облОНО
2023;Бухгалтер-ревизор
2024;редактор газеты «Марий коммуна»
2025;военный ветврач
2026;ст. лесничий
2027;начальник Мар-земуправления
2028;председатель Марпотребсоюза
2029;Инженер-электрик
2030;зав. финотделом
2031;садовод горкомхоза
2032;слушатель курсов
2033;научный сотрудник МарНИИ
2034;плановик
2035;кочегар лесозавода
2036;конюх лесхоза
2037;зав. электростанцией
2038;директор Маргосфилармонии
2039;ревизор финотдела
2040;ст. землеустроитель райзо
2041;начальник лес-транхоза
2042;директор краеведческого музея
2043;зав. складом сельпо
2044;прокурор
2045;ассистент пединститута
2046;столяр
2047;сторож завода
2048;семилетнее.
2049;низшее, нигде не работал.
2050;полный курс Мариупольской мужской гимназии
2051;нет
2052;высшее, до 1935 года
2053;нижшее
2054;малограмотны
2055;7 классв
2056;малограмтотный
2057;грамотный, единоличник.
2058;образования низшее
2059;окончил мореходную школу
2060;учащийся 7 класса
2061;образовние низшее
2062;малограмотны й
2063;среднее, 2 курса театрального института
2064;3 курса Харьковского университета.
2065;мореходное училище
2066;высшее (Духовная Академия)
2067;высшее (Кадетский морской корпус)
2068;среднее (духовная семинария)
2069;высшее (Московское высшее техническое училище)
2070;среднее (Омское ж.-д. училище)
2071;среднее духовное (семинария)
2072;незаконченное среднее духовное
2073;низшее (самоучка)
2074;высшее (Духовная семинария, Казанской ветеринарный институт)
2075;среднее (специальное)
2076;незаконченное высшее (2 курса Комвуза)
2077;среднее (духовное)
2078;низшее (духовное училище)
2079;высшее (МГУ и Лесной институт)
2080;высшее (Николаевское военное училище)
2081;специальное фельдшерское
2082;среднее (гуманитарное)
2083;высшее (институт красной профессуры)
2084;незаконченное высшее (духовное)
2085;высшее (Академия Генерального штаба)
2086;незаконченное ремеслен. училище
2087;среднее военное и незаконченное высшее
2088;высшее (Моск. высшая духовная академия)
2089;высшее (Омский ветеринарный институт)
2090;высшее (Академия художеств)
2091;высшее театральное
2092;среднее (Виленское коммерческое училище)
2093;высшее (Томский университет)
2094;высшее (Ленинград.лесной институт, владел польским, немецким, французским яз.)
2095;высшее (МГУ)
2096;среднее (духовное училище)
2097;высшее (Харьковский университет)
2098;незаконченное среднее, семилетка
2099;высшее (Томский технологический институт)
2100;среднее (педагогический техникум)
2101;среднее (духовно-монастырское)
2102;среднее (коммерческое училище)
2103;высшее (военная академия)
2104;высшее (ветеринарный институт)
2105;высшее (факультет советского права 1-го Государственного университета в Москве)
2106;среднее (учительская семинария и школа прапорщиков)
2107;среднее (реальное училище)
2108;высшее (Львовский политехнический институт)
2109;высшее (в Бельгии)
2110;незаконченное высшее (владел тремя языками)
2111;среднее (техническое)
2112;высшее художественное
2113;высшее, юридический фак. Варшавского Университета
2114;низшее (2 класса)
2115;высшее (филологическое)
2116;6 классов вечерней школы
2117;среднее специальное (экономическое)
2118;незаконченное высшее (5-й курс)
2119;низшее (2 класса начальной школы)
2120;высшее (худож.)
2121;высшее (юридический факультет института во Львове)
2122;высшее, петербургские высшие женские курсы
2123;среднее (профтехшкола)
2124;среднее и военное специальное
2125;Кологривская гимназия
2126;низшее сельское
2127;низшее (4 класса)
2128;незаконченное среднее (выпускник кадетского корпуса)
2129;среднее (Рязанская Духовная семинария)
2130;среднее специальное (школа народного искусства)
2131;высшее (Всесоюзная промыш. академия им. Сталина)
2132;9 классов школы
2133;среднее (учительская семинария)
2134;среднее (военное)
2135;высшее (Моск. институт инженеров путей сообщения)
2136;среднее (кадетский корпус и военное училище в Ленинграде)
2137;3 курса (Коммунист. университета)
2138;низшее (скорее, среднее спец)
2139;низшее (3 класса школы)
2140;высшее (аспирантура)
2141;низшее (сельская школа)
2142;высшее (физико-математический факультет МГУ)
2143;самообразование и курсы киномехаников
2144;высшее (юридический лицей в Ярославле)
2145;самоучка, малограмотный
2146;среднее (6 классов реального училища)
2147;среднее (кадетский корпус и военное училище)
2148;экономическое высшее
2149;высшее (духовное)
2150;низшее (среднее)
2151;среднее (фельдшерская школа)
2152;высшее (Промышленная академия)
2153;среднее (2 класса учит. семинарии)
2154;3 класса нач. школы
2155;высшее (Богословская академия)
2156;высшее (два высших)
2157;среднее (Воронежская Духовная семинария)
2158;высшее (Киевский политехнический институт)
2159;высшее (морской корпус)
2160;низшее (Церковно-приходская школа)
2161;высшее (университет, юридический факультет)
2162;высшее (Венский университет)
2163;высшее (Мариинский институт)
2164;духовное среднее
2165;среднее и специальное военное
2166;среднее (реальное училище в г. Сергиевом Посаде)
2167;среднее (кадетский корпус)
2168;высшее (МВТУ)
2169;низшее церковное
2170;незаконченное среднее (7 классов)
2171;среднее (9 классов)
2172;среднее (8 классов)
2173;низшее (5 классов)
2174;среднее (школа прапорщиков)
2175;высшее (юридическое)
2176;низшее (Казанская школа прапорщиков в 1917 г.)
2177;среднее (Тамбовская Духовная семинария)
2178;среднее (Духовная семинария в Рязане)
2179;грамотный (самоучка)
2180;высшее (Казанская Духовная академия)
2181;среднее (сельское училище)
2182;высшее (институт им. Мархлевского)
2183;высшее (среднее)
2184;незаконченное среднее (духовное училище и один класс Духовной семинарии)
2185;среднее (юнкерское училище, духовная семинария)
2186;среднее (Томская духовная семинария)
2187;высшее (Духовная Академия в Киеве)
2188;среднее, неполн.мед.техническое
2189;низшее (4 класса корейской школы)
2190;низшее (приходское училище)
2191;высшее (политическое)
2192;высшее (Пражский политехнический институт)
2193;неполное среднее (духовное)
2194;среднее (7 классов)
2195;среднее (Пачелмское ж.-д. училище)
2196;низшее (церковно-приходское училище)
2197;незаконченное среднее техническое
2198;среднее (военное училище)
2199;среднее (учительская школа)
2200;среднее (Орловская духовная семинария)
2201;высшее (Петербургский политехнический институт)
2202;среднее (окончил учительскую семинарию)
2203;высшее (военное)
2204;высшее (техническое)
2205;незаконченное высшее (Алексеевское юнкерское училище)
2206;высшее (экономическое)
2207;среднее (военное), неполное среднее (духовное)
2208;среднее (семинария)
2209;среднее (Вифанская духовная семинария)
2210;высшее (Краковский университет)
2211;высшее (Московский Инженерно-экономический институт)
2212;среднее (Киевская школа подпоручиков)
2213;среднее (инженерная школа в Германии)
2214;высшее музыкальное
2215;среднее (ремесленное училище)
2216;среднее (знал четыре языка)
2217;высшее (медицинское)
2218;домашнее (духовное)
2219;низшее духовное
2220;среднее (педагогическое и духовное)
2221;среднее (рязанская гимназия)
2222;среднее (варшавское ремесленное училище)
2223;высшее (Михайловское артиллерийское училище)
2224;среднее (школа ВЦИК)
2225;высшее (юридический факультет МГУ)
2226;низшее (малограмотный)
2227;высшее (Московский политехнический институт)
2228;высшее (юридический факультет в Праге)
2229;среднее (Московская духовная семинария)
2230;низшее (школа ФЗХ)
2231;высшее (археологический институт)
2232;среднее (музык. высшее)
2233;среднее (епархиальное училище)
2234;низшее (3 класса средней школы)
2235;высшее (Археологический и Коммерческий институты)
2236;низшее (3 класса)
2237;низшее (ликбез)
2238;высшее (юрфак МГУ)
2239;низшее (1 класс сельской школы)
2240;незаконченное среднее (духовная семинария)
2241;высшее (Киевский коммерческий институт, Духовная семинария)
2242;среднее (педагогическое)
2243;высшее (Тифлисский кадетский корпус и специальное техническое образование)
2244;высшее (Академия им. Жуковского)
2245;высшее (МЭИ)
2246;высшее (медицинский факультет Московского университете)
2247;незаконченное высшее (юрист)
2248;среднее (Тульское ж.-д. училище)
2249;высшее (музыкальное)
2250;домашнее среднее
2251;высшее (экономический факультет МГУ)
2252;высшее (Киевский университет, юрфак)
2253;среднее (Елизаветинское кавалерийское училище)
2254;высшее (московский университет, юридический факультет)
2255;среднее (техническое ж.-д. училище)
2256;высшее (военно-морское училище)
2257;ни
2258;малограмотный (самоучка)
2259;среднее (Московская Евангелическая школа)
2260;среднее (сельскохозяйственное училище)
2261;гимназия и военное училище
2262;среднее (кадетский корпус и военное училище в Петербурге)
2263;высшее (военно-техническое)
2264;среднее (Одесское пехотное училище)
2265;среднее (гимназия им. Ломоносова)
2266;высшее (кадетский корпус и Михайловское артиллерийское училище)
2267;низшее (школа при монастыре)
2268;высшее (Минский строительный институт)
2269;высшее (Московский университет)
2270;среднее (политическое)
2271;специальное (педагогическое)
2272;высшее (Коммунистический ун-т трудящихся Китая)
2273;высшее (духовное, Казанская Духовная Академия)
2274;высшее (окончил технологический институт в г. Фрейберге)
2275;низшее (сельская школа-4 класса)
2276;низшее (малограмотная)
2277;гт
2278;н.высшее
2279;низшее корейское
2280;окончил 6 классов гимназии экстерном
2281;неполное среднее техническое
2282;окончил горное училище
2283;высшее (по другим данным незаконченное высшее)
2284;среднее (по другим данным - низшее)
2285;окончил 2 класса Центральной партийной школы
2286;окончил четырехклассное городское училище
2287;окончил один курс техникума
2288;окончил Высшую школу пропагандистов
2289;окончил 2 класса городского училища и Высшую партийную школу в Ленинграде
2290;окончил 5 классов реального училища
2291;среднее специальное.
2292;окончил 1 класс сельской школы.
2293;окончила Центральную партийную школу
2294;закончил 2 класса торговой школы
2295;окончил Кремлевскую школу при ВЦИК
2296;высшее (учился в Харбине, Китай)
2297;окончил 4 класса городского училища
2298;окончил вечерний комвуз им.Свердлова
2299;незаконченное высшее (исключен из Московского нефтяного института им.Губкина)
2300;окончил 4 класса гимназии
2301;окончил 1 курс техникума
2302;окончил 4 класса духовной семинарии
2303;окончил курсы электротехников
2304;окончил 6 классов гимназии
2305;среднее и Татарский коммунистический университет
2306;окончил сельскую школу и шоферские курсы в Харбине
2307;окончил 6 классов реального училища
2308;окончил рабфак при военной академии
2309;специальное техническое
2310;Оренбургское военное кавалерийское училище
2311;техкурсы КВЖД
2312;доктор технических наук
2313;Киевское военное училище
2314;низшее (домашнее)
2315;доктор наук
2316;2 класса ж.-д. училища
2317;учился на 2-м курсе института им.Бубнова
2318;4 курса Московского института водного транспорта
2319;3 курса Лондонского королевского университета экономического факультета
2320;2 курса ЛГУ
2321;экономист
2322;2 курса МГУ
2323;2 курса юридического факультета Ленинградского университета
2324;кандидат технических наук
2325;доктор медицинских наук
2326;доктор философских наук
2327;кандидат медицинских наук
2328;7 классов городского училища
2329;кандидат экономических наук
2330;2 курса агрономического отделения Института красной профессуры
2331;5 классов ж.-д. школы
2332;доктор сельскохозяйственных наук
2333;5 классов греческой школы
2334;специальное фармацевтическое
2335;кандидат наук
2336;2 курса Промышленной академии
2337;низшее (самообразование)
2338;техническое училище
2339;специальное высшее
2340;среднее (4 класса Духовного училища)
2341;высшее(?среднее)
2342;высшее(?)
2343;образование - 7 кл.
2344;с высшим образованием
2345;образование среднее медицинское
2346;образование - 4 класса
2347;образование - сельская школа
2348;образования 5 кл.
2349;образование - 8 кл.
2350;с неполным средним образованием
2351;с незаконченным высшим образованием (духовное)
2352;образование средне-техническое
2353;образование - высшее
2354;образование среднее техническое
2355;образование 7 кл.
2356;образование 8 кл.
2357;образование 7 кл
2358;образование 5 кл.
2359;образование 10 кл.
2360;с низшим образованием
2361;образование 6 кл.
2362;с высшим образованием.
2363;со средним образование
2364;окончил городское 4 классное училище
2365;образование - 9 кл.
2366;образование выше
2367;образование в объеме сельской школы
2368;образование - среднее
2369;образование в объеме военного училища
2370;образование - духовная семинария
2371;образование - среднее специальное
2372;образование - среднее общее и военное училище
2373;незаконченно высшее образование
2374;неоконченное высшее образование
2375;со средне-специальным образованием
2376;образование - военно-фельдшерская школа
2377;образование - в объеме 1 курса сельхозинститута
2378;образование - 2 кл.духовного училища
2379;образование - 7 классов
2380;образование 4 кл.
2381;с образованием в объеме 5 классов
2382;окончил военно-политическое училище
2383;окончил Саранский комвуз
2384;образование - 5 кл.
2385;образование - незаконченное высшее
2386;образование средне-специальное
2387;образование - 6 классов
2388;неграмотный (самоучка)
2389;образование высшее педагогическое
2390;с незаконченным высшим образованием
2391;образование 4 кл. гимназии
2392;по образованию - агроном
2393;образование - 4 кл.
2394;образование высшее незаконченное
2395;высшее (гуманитарное)
2396;среднее специальное, незаконченное
2397;высшее незаконченное
2398;среднее специальное (незаконченное)
2399;высшее (незаконченное)
2400;среднее специальное (духовное)
2401;среднее специальное (техническое)
2402;среднее (незаконченное)
2403;высшее, незаконченное
2404;курс трехклассного училища
2405;среднее, неполное
2406;среднее, незаконченное
2407;начальное, сельская школа
2408;высшее - юридический факультет Томского госуниверситета
2409;среднее:
2410;начальное (сельская школа)
2411;высшее (естественно-научное)
2412;высшее (экономическое, незаконченное)
2413;Комвуз им. Свердлова
2414;один класс гимназии
2415;начальное (4 класса городского училища)
2416;среднее (специальное, незаконченное)
2417;высшее (естественное)
2418;начальное (приходское училище)
2419;среднее специальное (военное)
2420;среднее (гимназическое)
2421;Иркутское сельскохозяйственное училище
2422;2 класса земского училища
2423;Самоучка.
2424;средне-техническое.
2425;Сельская приходская школа
2426;Высшее незаконченное, врач
2427;Украинец
2428;высшее, окончил историко-филологический факультет Московского университета
2429;Высшее. Окончил Михайловскую Артиллерийскую академию.
2430;Высшее. Окончила Московский ун-т.
2431;Высшее. Окончил морской кадетский корпус.
2432;Окончил Московский кадетский корпус
2433;Высшее. Окончил историко-филологический ф-т Петроградского университета (1915).
2434;Высшее. кончил физ.-мат. ф-т Петербургского ун-та.
2435;высшее, Инженер-электрик
2436;Высшее. Окончил историко-филологический и восточный ф-ты Петербургского ун-та (1912).
2437;Высшее. Окончил юрид.ф-т Московского ун-та.
2438;Высшее. Окончила Консерваторию.
2439;Высшее. Окончил кадетский корпус в Петербурге.
2440;Высшее. Окончил философ.отделение Парижского ун-та, историко-филологический ф-т Петроградского ун-та. Учился на мед.ф-те Психоневрологического ин-та.
2441;Высшее. Окончил историко-филологический ф-т Петроградского ун-та (1915).
2442;Среднее. Окончила курсы драматического искусства при Александринском театре.
2443;Высшее. Окончил институт гражданских инженеров (1928).
2444;Высшее. Окончил Петербургский Лицей, училище Правоведения.
2445;Высшее. Окончила театральное отд. ин-та "Живое слово" (1925).
2446;Высшее. Окончил училище Дальнего плавания.
2447;среднее, окончил гимназию
2448;Высшее, инженер-химик
2449;Высшее. Окончил Воронежский с.-х.институт
2450;Высшее. Окончил археологический институт (1904), Петроградский Богословский институт (1923).
2451;Высшее. Окончила Богословский институт.
2452;Высшее. окончил ф-т обществ.наук ЛГУ (1925).
2453;Высшее. Окончил историко-филологический ф-т Петроградского ун-та (1923).
2454;Высшее. Окончил филологический ф-т Новороссийского ун-та.
2455;Высшее. Окончила институт в Брюсселе.
2456;Студент-медик
2457;незаконченное высшее юридическое
2458;Среднее. Окончил Морской кадетский корпус.
2459;Высшее. Окончил Институт Путей сообщения.
2460;высшее физико-математическое и юридическое
2461;высшее, статистик
2462;Высшее. Окончил машиностроит. институт в Харькове.
2463;Высшее. Окончил институт инженеров путей сообщения.
2464;высшее историко-филологическое
2465;низшее (неграмотная)
2466;Высшее. Окончил историко-филологический ф-т Петроградского ун-та.
2467;Высшее. Окончил Военно-мед.академию.
2468;высшее, помощник провизора
2469;Высшее. Окончил физ.-мат. ф-т Петербургского ун-та (1899).
2470;высшее, востоковед-этнограф
2471;Высшее. Окончила Химико-технолог. институт
2472;Высшее окончила ф-т общественных наук Ленинградского ун-та (1925).
2473;окончил хедер и фельдшерскую школу
2474;Окончил реальное училище и кооперативные курсы
2475;в 1921г. училась на 3 курсе Высших Женских курсов
2476;Высшее. Окончил Певческую капеллу и Консерваторию (1924).
2477;Высшее, окончила Институт им.Лесгафта (1925).
2478;Высшее. Окончила Академию Художеств в Филадельфии.
2479;неоконченное высшее (Киевский институт народного хозяйства)
2480;8 классов гимназии
2481;высшее, окончил Московский сельскохозяйственный институт
2482;Высшее. Окончила Бестужевские курсы.
2483;специальное, фельдшер
2484;окончил коммерческое училище, делопроизводитель
2485;Высшее. Окончил Николаевское военное инженерное училище, Петербургский археологический институт.
2486;Высшее. Окончил Ком. институт журналистики им.Воровского в 1937.
2487;Высшее. Окончил химический ф-т Цюрихского ун-та.
2488;высшее, окончил юридический факультет Петербургского университета
2489;высшее, юридическое
2490;Высшее. Окончил историко-филологический ф-т Петербургского ун-та (1914).
2491;высшее, врач
